 memberid |   transactiondate   |         item          | quantity 
        9 | 2023-06-08 00:00:00 | Fruit Tart            |        2
        9 | 2023-06-09 00:00:00 | Chicken Alfredo       |        2
        9 | 2023-07-05 00:00:00 | Caprese Salad         |        2
        9 | 2023-08-03 00:00:00 | Chicken Alfredo       |        1
       10 | 2023-01-08 00:00:00 | Chicken Alfredo       |        3
       10 | 2023-02-27 00:00:00 | Cheesecake            |        1
       10 | 2023-04-14 00:00:00 | Chicken Alfredo       |        2
       10 | 2023-05-26 00:00:00 | Chocolate Lava Cake   |        3
       10 | 2023-06-05 00:00:00 | Caprese Salad         |        4
       10 | 2023-07-17 00:00:00 | Chicken Alfredo       |        1
       10 | 2023-09-03 00:00:00 | Stuffed Mushrooms     |        1
       10 | 2023-11-01 00:00:00 | Chicken Alfredo       |        1
       10 | 2023-11-30 00:00:00 | Fruit Tart            |        4
       11 | 2023-02-13 00:00:00 | Spinach Artichoke Dip |        4
       11 | 2023-03-17 00:00:00 | Tiramisu              |        1
       11 | 2023-06-28 00:00:00 | Caprese Salad         |        2
       11 | 2023-07-23 00:00:00 | Fruit Tart            |        3
       11 | 2023-07-25 00:00:00 | Cheesecake            |        1
       12 | 2023-01-14 00:00:00 | Stuffed Mushrooms     |        3
       12 | 2023-02-15 00:00:00 | Grilled Salmon        |        1
       12 | 2023-02-18 00:00:00 | Caprese Salad         |        4
       12 | 2023-02-28 00:00:00 | Grilled Salmon        |        4
       12 | 2023-03-02 00:00:00 | Fruit Tart            |        2
       12 | 2023-03-19 00:00:00 | Fruit Tart            |        1
       12 | 2023-03-26 00:00:00 | Stuffed Mushrooms     |        3
       12 | 2023-04-03 00:00:00 | Chocolate Lava Cake   |        4
       12 | 2023-04-17 00:00:00 | Chicken Alfredo       |        1
       12 | 2023-06-25 00:00:00 | Vegetable Stir-Fry    |        3
       12 | 2023-07-10 00:00:00 | Stuffed Mushrooms     |        1
       12 | 2023-08-07 00:00:00 | Vegetable Stir-Fry    |        2
       12 | 2023-10-16 00:00:00 | Shrimp Cocktail       |        3
       13 | 2023-01-15 00:00:00 | Caprese Salad         |        3
       13 | 2023-01-20 00:00:00 | Chocolate Lava Cake   |        1
       13 | 2023-02-10 00:00:00 | Filet Mignon          |        2
       13 | 2023-02-25 00:00:00 | Stuffed Mushrooms     |        4
       13 | 2023-03-05 00:00:00 | Tiramisu              |        3
       13 | 2023-03-20 00:00:00 | Vegetable Stir-Fry    |        1
       13 | 2023-04-04 00:00:00 | Grilled Salmon        |        2
       13 | 2023-04-18 00:00:00 | Spinach Artichoke Dip |        5
       13 | 2023-05-10 00:00:00 | Cheesecake            |        1
       13 | 2023-05-24 00:00:00 | Chicken Alfredo       |        4
       13 | 2023-06-07 00:00:00 | Shrimp Cocktail       |        3
       13 | 2023-06-21 00:00:00 | Fruit Tart            |        2
       13 | 2023-07-05 00:00:00 | Bruschetta            |        1
       13 | 2023-07-20 00:00:00 | Caprese Salad         |        5
       13 | 2023-08-04 00:00:00 | Chocolate Lava Cake   |        1
       13 | 2023-08-19 00:00:00 | Filet Mignon          |        4
       13 | 2023-09-03 00:00:00 | Stuffed Mushrooms     |        2
       13 | 2023-09-17 00:00:00 | Tiramisu              |        3
       13 | 2023-10-01 00:00:00 | Vegetable Stir-Fry    |        1
       13 | 2023-10-15 00:00:00 | Bruschetta            |        5
(120 rows)

INSERT 0 20
